City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,norfolk,42.1668,-71.2495,14.75,36,0,3.6,US,1714148842
319,kuanda,56.3161,116.0806,-3.55,78,98,1.63,RU,1714148910
320,yatsuomachi-higashikumisaka,36.5667,137.1333,14.56,90,100,2.46,JP,1714148911
321,caleta de carquin,-11.0925,-77.6267,22.55,77,7,2.98,PE,1714148911
322,portland,45.5234,-122.6762,12.13,90,100,3.6,US,1714148823
323,quatre cocos,-20.2078,57.7625,26.16,81,99,5.27,MU,1714148705
324,lluta,-16.0147,-72.0142,15.97,44,21,4.35,PE,1714148911
325,kavaratti,10.5669,72.642,29.82,73,74,3.38,IN,1714148674
326,inirida,3.8653,-67.9239,33.8,48,38,1.84,CO,1714148911
327,walvis bay,-22.9575,14.5053,17.53,72,0,4.63,NA,1714148912
328,soe,-9.8607,124.284,19.87,94,51,1.56,ID,1714148912
329,katsuura,35.1333,140.3,18.51,91,100,3.68,JP,1714148912
330,guane,22.2025,-84.0875,29.88,43,0,6.67,CU,1714148818
331,okha,53.5739,142.9478,1.25,91,100,5.36,RU,1714148913
332,praia,14.9215,-23.5087,29.3,51,0,8.75,CV,1714148561
333,sao felix do xingu,-6.6447,-51.995,30.87,60,99,1.5,BR,1714148677
334,ponta delgada,37.7333,-25.6667,18.44,82,75,6.17,PT,1714148356
335,palikir - national government center,6.9248,158.1611,28.41,74,100,3.6,FM,1714148913
336,gobabis,-22.45,18.9667,27.69,17,0,3.98,NA,1714148914
337,polyarnyy,69.1989,33.4478,0.04,86,99,5.31,RU,1714148606
338,jamaame,0.0697,42.745,24.4,96,100,3.01,SO,1714148617
339,lashio,22.9333,97.75,22.77,32,23,0.64,MM,1714148914
340,tamanrasset,22.785,5.5228,33.95,7,0,6.69,DZ,1714148596
341,paragominas,-2.9667,-47.4833,30.24,66,92,1.06,BR,1714148914
342,mukalla,14.5425,49.1242,27.74,72,1,1.4,YE,1714148915
343,termas de rio hondo,-27.4998,-64.8604,21.79,75,94,1.67,AR,1714148915
344,sile,41.1754,29.6133,18.37,65,9,1.79,TR,1714148915
345,cill airne,52.05,-9.5167,11.03,58,0,4.12,IE,1714148915
346,inonu,37.3167,33.7667,22.92,26,100,9.16,TR,1714148915
347,konkwesso,10.8469,4.0984,41.2,19,83,4.72,NG,1714148916
348,kitui,-1.367,38.0106,19.31,90,100,0.43,KE,1714148916
349,wynyard,-41.0,145.7167,10.64,81,1,3.28,AU,1714148647
350,bull savanna,17.8868,-77.5902,28.58,58,0,2.75,JM,1714148916
351,newman,37.3138,-121.0208,16.24,73,63,1.79,US,1714148916
352,kargasok,59.0556,80.8572,1.09,72,50,3.58,RU,1714148848
353,masterton,-40.9597,175.6575,5.61,86,0,0.67,NZ,1714148617
354,aytos,42.7,27.25,17.8,70,86,2.73,BG,1714148917
355,borzya,50.3833,116.5167,2.85,49,87,4.51,RU,1714148647
356,nicastro,38.9833,16.3167,15.27,55,95,5.14,IT,1714148917
